"filename", "language", "PHP", "JavaScript", "SCSS", "CSS", "Markdown", "XML", "JSON", "comment", "blank", "total"
"c:\wamp64\www\roleandpermission\README.md", "Markdown", 0, 0, 0, 0, 45, 0, 0, 0, 22, 67
"c:\wamp64\www\roleandpermission\app\Http\Controllers\Auth\ConfirmPasswordController.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 20, 7, 40
"c:\wamp64\www\roleandpermission\app\Http\Controllers\Auth\ForgotPasswordController.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 10, 5, 23
"c:\wamp64\www\roleandpermission\app\Http\Controllers\Auth\LoginController.php", "PHP", 31, 0, 0, 0, 0, 0, 0, 18, 12, 61
"c:\wamp64\www\roleandpermission\app\Http\Controllers\Auth\RegisterController.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 32, 9, 73
"c:\wamp64\www\roleandpermission\app\Http\Controllers\Auth\ResetPasswordController.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 15, 6, 30
"c:\wamp64\www\roleandpermission\app\Http\Controllers\Auth\VerificationController.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 20, 7, 42
"c:\wamp64\www\roleandpermission\app\Http\Controllers\Backend\Blogs.php", "PHP", 312, 0, 0, 0, 0, 0, 0, 0, 60, 372
"c:\wamp64\www\roleandpermission\app\Http\Controllers\Backend\Citylist.php", "PHP", 72, 0, 0, 0, 0, 0, 0, 4, 22, 98
"c:\wamp64\www\roleandpermission\app\Http\Controllers\Backend\Companies.php", "PHP", 156, 0, 0, 0, 0, 0, 0, 0, 28, 184
"c:\wamp64\www\roleandpermission\app\Http\Controllers\Backend\Countrylist.php", "PHP", 69, 0, 0, 0, 0, 0, 0, 3, 21, 93
"c:\wamp64\www\roleandpermission\app\Http\Controllers\Backend\Department.php", "PHP", 88, 0, 0, 0, 0, 0, 0, 0, 25, 113
"c:\wamp64\www\roleandpermission\app\Http\Controllers\Backend\Designation.php", "PHP", 103, 0, 0, 0, 0, 0, 0, 0, 24, 127
